species
Acacesia hamata
Gasteracantha cancriformis
Gea heptagon
Geolycosa fatifera
Geolycosa hubbelli
Geolycosa micanopy
Geolycosa missouriensis
Geolycosa patellonigra
Geolycosa rafaelana
Geolycosa riograndae
Geolycosa turricola
Geolycosa wrighti
Gertschanapis shantzi
Ghelna canadensis
Gladicosa gulosa
Gladicosa pulchra
Glenognatha foxi
Gnaphosa muscorum
Gnaphosa parvula
Gnaphosa sericata
Gonatium crassipalpum
Goneatara plausibilis
Grammonota angusta
Grammonota gentilis
Grammonota inornata
Grammonota pallipes
Grammonota pictilis
Grammonota vittata
Gray Wall Jumper (Menemerus bivittatus)
Habronattus agilis
Habronattus americanus
Habronattus amicus
Habronattus borealis
Habronattus brunneus
Habronattus calcaratus
Habronattus californicus
Habronattus clypeatus
Habronattus coecatus
Habronattus cognatus
Habronattus conjunctus
Habronattus cuspidatus
Habronattus decorus
Habronattus dossenus
Habronattus elegans
Habronattus festus
Habronattus formosus
Habronattus georgiensis
Habronattus geronimoi
Habronattus hallani
Habronattus hirsutus
Habronattus icenoglei
Habronattus klauseri
Habronattus luminosus
Habronattus mataxus
Habronattus ophrys
Habronattus orbus
Habronattus oregonensis
Habronattus pyrrithrix
Habronattus schlingeri
Habronattus tarsalis
Habronattus texanus
Habronattus virgulatus
Habronattus viridipes
Hakka himeshimensis
Hamataliwa grisea
Hamataliwa helia
Haplodrassus bicornis
Haplodrassus signifer
Heliophanus kochii
Helophora insignis
Helophora reducta
Hentzia chekika
Hentzia mitrata
Hentzia palmarum
Hentziectypus globosus
Heser schmitzi
Heteropoda venatoria
"Hibana,Hibana gracilis"
Hibana futilis
Hibana incursa
Hogna antelucana
Hogna antelucana
Hogna baltimoriana
Hogna carolinensis
Hogna coloradensis
Hogna frondicola
Hogna lenta
Holocnemus pluchei
Hololena nedra
Hyetussa complicata
Hypselistes florens
Hypsosinga pygmaea
Hypsosinga rubens
Hyptiotes cavatus
Hyptiotes gertschi
Idionella rugosa
Islandiana flaveola
Kukulcania arizonica
Kukulcania geophila
Kukulcania hibernalis
Kukulcania hurca
Kukulcania utahana
Larinia borealis
Larinia directa
Larinioides cornutus
Larinioides patagiatus
Larinioides sclopetarius
Latrodectus bishopi
Latrodectus geometricus
Latrodectus hesperus
Latrodectus mactans
Latrodectus variolus
Lauricius hooki
Lepthyphantes leprosus
Lepthyphantes turbatrix
Leptoctenus byrrhus
Leptofreya ambigua
Leucauge argyra
Leucauge argyrobapta
Leucauge venusta
Leucauge venusta juvenile
Linyphantes orcinus
Linyphantes pualla
Linyphantes victoria
Linyphia triangularis
Loxosceles apachea
Loxosceles arizonica
Loxosceles blanda
Loxosceles deserta
Loxosceles reclusa
Loxosceles rufescens
Lupettiana mordax
Lutica nicolasia
Magnolia Green Jumper (Lyssomanes viridis)
Mallos pallidus
Mangora gibberosa
Mangora maculata
Mangora placida
Mangora spiculata
Marchena minuta
Marpissa bina
Marpissa formosa
Marpissa grata
Marpissa lineata
Marpissa obtusa
Marpissa robusta
Mastophora cornigera
Mastophora hutchinsoni
Mastophora phrynosoma
Mecaphesa asperata
Mecaphesa californica
Mecaphesa celer
Mecaphesa deserti
Mecaphesa dubia
Mecaphesa importuna
Mecaphesa rothi
Mecaphesa schlingeri
Mecaphesa verityi
Mecynogea lemniscata
Megahexura fulva
Megalepthyphantes nebulosus
Menemerus semilimbatus
Meotipa pulcherrima
Meriola arcifera
Meriola decepta
Mermessus fradeorum
Mermessus trilobatus
Messua limbata
Metacyrba floridana
Metacyrba punctata
Metacyrba taeniola
Metaltella simoni
Metaphidippus chera
Metaphidippus iviei
Metaphidippus manni
Metazygia zilloides
Meta dolloff
Meta ovalis
Metellina curtisi
Metellina mimetoides
Metellina segmentata
Metepeira arizonica
Metepeira foxi
Metepeira labyrinthea
Mexigonus minutus
Mexigonus morosus
Micaria longipes
Micaria pulicaria
Micrathena gracilis
Micrathena mitrata
Micrathena sagittata
Microlinyphia dana
Microlinyphia mandibulata
Microlinyphia pusilla
Microneta viaria
Mimetus eutypus
Mimetus hesperus
Mimetus notius
Mimetus puritanus
Misumena vatia
Misumenoides formosipes
Misumenops bellulus
Misumessus lappi
Misumessus oblongus
Modisimus culicinus
Modysticus modestus
Murricia uva
Myrmarachne formicaria
Myrmekiaphila comstocki
N/A
Naphrys acerba
Naphrys pulex
Naphrys xerophila
Neoantistea agilis
Neoantistea magna
Neon ellamae
Neon nelli
Neon reticulatus
Neopisinus cognatus
Neoscona arabesca
Neoscona crucifera
Neoscona domiciliorum
Neoscona nautica
Neoscona oaxacensis
Neoscona pratensis
Neoscona utahana
Neospintharus trigonum
Neotama mexicana
Neottiura bimaculata
Neriene clathrata
Neriene digna
Neriene litigiosa
Neriene radiata
Neriene variabilis
Nesticodes rufipes
Nigma linsdalei
Nodocion floridanus
Novalena lutzi
Ocala Jumper (Habronattus ocala)
Ocrepeira ectypa
Oecobius annulipes
Oecobius cellariorum
Oecobius maculatus
Oecobius navus
Ogrefaced spider (Deinopis spinosa)
Olios giganteus
Origanates rostratus
Orodrassus coloradensis
Oxyopes acleistus
Oxyopes aglossus
Oxyopes apollo
Oxyopes salticus
Oxyopes scalaris
Oxyopes tridens
Ozyptila distans
Ozyptila pacifica
Pachygnatha autumnalis
Pachygnatha brevis
Pachygnatha clercki
Pachygnatha furcillata
Pachygnatha tristriata
Paradamoetas fontanus
Paramaevia michelsoni
Paramaevia poultoni
Paraphidippus aurantius
Paraphidippus basalis
Parasteatoda tabulata
Parasteatoda tepidariorum
Pardosa atromedia
Pardosa concinna
Pardosa distincta
Pardosa dorsuncata
Pardosa lapidicina
Pardosa mackenziana
Pardosa metlakatla
Pardosa milvina
Pardosa modica
Pardosa moesta
Pardosa ontariensis
Pardosa pauxilla
Pardosa tesquorum
Pardosa vancouveri
Pardosa xerampelina
Peckhamia americana
Pelegrina aeneola
Pelegrina arizonensis
Pelegrina clemata
Pelegrina exigua
Pelegrina flaviceps
Pelegrina flavipes
Pelegrina insignis
Pelegrina pervaga
Pelegrina proterva
Pelegrina tillandsiae
Peppered Jumper (Pelegrina galathea)
Peucetia longipalpis
Peucetia viridans
Phanias albeolus
Phanias concoloratus
Phanias harfordi
Phidippus adumbratus
Phidippus apacheanus
Phidippus ardens
Phidippus arizonensis
Phidippus asotus
Phidippus audax group)
Phidippus borealis
Phidippus californicus
Phidippus carneus
Phidippus carolinensis
Phidippus clarus
Phidippus comatus
Phidippus insignarius
Phidippus johnsoni
Phidippus mystaceus
Phidippus nikites
Phidippus octopunctatus
Phidippus otiosus
Phidippus phoenix
Phidippus pius
Phidippus princeps
Phidippus purpuratus
Phidippus putnami
Phidippus richmani
Phidippus texanus
Phidippus toro
Phidippus tux
Phidippus tyrrellii
Phidippus whitmani
Phidippus workmani
Philodromus californicus
Philodromus cespitum
Philodromus dispar
Philodromus exilis
Philodromus floridensis
Philodromus imbecillus
Philodromus keyserlingi
Philodromus laticeps
Philodromus marxi
Philodromus minutus
Philodromus pinyonelis
Philodromus placidus
Philodromus praelustris
Philodromus rufus
Philodromus spectabilis
Phlegra hentzi
Pholcophora americana
Pholcus manueli
Pholcus opilionoides
Pholcus phalangioides
Pholcus possibile crypticolens
Phoroncidia americana
Phrurolithus pipensis
Phrurotimpus alarius
Phrurotimpus borealis
Phylloneta pictipes
Physocyclus enaulus
Pike Slender Jumper (Marpissa pikei)
Pimoa altioculata
Pirata montanus
Pirata piraticus
Pirata sedentarius
Piratula cantralli
Pisaurina brevipes
Pisaurina dubia
Pisaurina mira
Pisaurina undulata
Pityohyphantes costatus
Pityohyphantes subarcticus
Platnickina alabamensis
Platnickina mneon
Platnickina tincta
Platycryptus californicus
Platycryptus undatus
Plexippus paykulli
Pocadicnemis pumila
Pocobletus coroniger
Poeciloneta lyrica
Praestigia kulczynskii
Promyrmekiaphila clathrata
Pseudeuophrys erratica
Psilochorus apicalis
Psilochorus californiae
Psilochorus hesperus
Psilochorus utahensis
Rabidosa carrana
Rabidosa hentzi
Rabidosa punctulata
Rabidosa rabida
Rabidosa santrita
Redspotted Antmimic (Castianeira descripta)
Regal Jumper (Phidippus regius)
Rhomphaea fictilium
Rhomphaea projiciens
Rhysodromus alascensis
Rhysodromus histrio
Rhysodromus mysticus
Robertus eremophilus
Robertus pumilus
Robertus riparius
Robertus vigerens
Rugathodes sexpunctatus
Salticus austinensis
Salticus palpalis
Sarinda hentzi
Sassacus cyaneus
Sassacus paiutus
Sassacus papenhoei
Sassacus vitis
Schizocosa avida
Schizocosa crassipes
Schizocosa mccooki
Schizocosa minnesotensis
Schizocosa ocreata
Schizocosa retrorsa
Schizocosa stridulans
Scopoides catharius
Scotinella fratrella
Scotinella minnetonka
Scotinotylus sanctus
Scotophaeus blackwalli
Scytodes alayoi
Scytodes atlacoya
Scytodes fusca
Scytodes globula
Scytodes thoracica
Scytodes univittata
Segestria pacifica
Septentrinna bicalcarata
Sergiolus capulatus
Sergiolus columbianus
Sergiolus montanus
Smeringopus pallidus
Sosippus californicus
Sosippus floridanus
Sosippus mimus
Sosippus placidus
Sosticus insularis
Soulgas corticarius
Spermophora senoculata
Sphodros abboti
Sphodros atlanticus
Sphodros fitchi
Sphodros niger
Sphodros paisano
Sphodros rufipes
Spintharus flavidus
Spirembolus mundus
Steatoda albomaculata
Steatoda bipunctata
Steatoda borealis
Steatoda erigoniformis
Steatoda grandis
Steatoda grossa
Steatoda hespera
Steatoda nobilis
Steatoda punctulata
Steatoda triangulosa
Steatoda variata
Strotarchus piscatorius
Styloctetor purpurescens
Synageles bishopi
Synageles noxiosus
Synageles venator
Synema parvulum
Synema viridans
Synemosyna formica
Tachygyna vancouverana
Talavera minuta
Tapinocyba cameroni
Tapinopa bilineata
Tegenaria domestica
Tegenaria pagana
Teminius affinis
Tennesseellum formica
Tenuiphantes sabulosus
Tenuiphantes tenuis
Tenuiphantes zebra
Tenuiphantes zibus
Terralonus californicus
Terralonus fraternus
Tetragnatha elongata
Tetragnatha extensa
Tetragnatha guatemalensis
Tetragnatha nitens
Tetragnatha versicolor
Tetragnatha viridis
Thanatus formicinus
Thanatus rubicellus
Thanatus vulgaris
Theridion albidum
Theridion californicum
Theridion cheimatos
Theridion differens
Theridion flavonotatum
Theridion frondeum
Theridion glaucescens
Theridion goodnightorum
Theridion kawea
Theridion lawrencei
Theridion leechi
Theridion melanurum
Theridion michelbacheri
Theridion morulum
Theridion murarium
Theridion neomexicanum
Theridion neshamini
Theridion pennsylvanicum
Theridion pictum
Theridion punctipes
Theridion submissum
Theridiosoma gemmosum
Theridula emertoni
Theridula opulenta
Thymoites pictipes
Thymoites unimaculatus
Tibellus duttoni
Tibellus maritimus
Tibellus oblongus
Tidarren sisyphoides
Tigrosa annexa
Tigrosa aspersa
Tigrosa georgicola
Tigrosa grandis
Tigrosa helluo
Tinus peregrinus
Titanoeca americana
Titanoeca nigrella
Titiotus hansii
Tmarus angulatus
Tmarus floridensis
Tmarus minutus
Tmeticus ornatus
Trabeops aurantiacus
Trachelas pacificus
Trachelas tranquillus
Trachyzelotes lyonneti
Trebacosa marxi
Trechalea gertschi
Trichonephila clavata
Trichonephila clavipes
Trochosa ruricola
Trochosa sepulchralis
Trochosa terricola
Tutelina elegans
Tutelina formicaria
Tutelina harti
Tutelina similis
Twobanded Antmimic (Castianeira cingulata)
Uloborus diversus
Uloborus glomosus
Varacosa avara
Verrucosa arenata
Wagneriana tauricornis
Walckenaeria carolina
Walckenaeria castanea
Walckenaeria pallida
Wamba crispulus
Western Parson Spider (Herpyllus propinquus)
Wubana atypica
Wubana pacifica
Wulfila saltabundus
Wulfila tantillus
Xysticus acquiescens
Xysticus alboniger
Xysticus ampullatus
Xysticus aprilinus
Xysticus auctificus
Xysticus californicus
Xysticus cristatus
Xysticus discursans
Xysticus elegans
Xysticus ellipticus
Xysticus emertoni
Xysticus ferox
Xysticus fervidus
Xysticus fraternus
Xysticus funestus
Xysticus gulosus
Xysticus locuples
Xysticus luctans
Xysticus montanensis
Xysticus pellax
Xysticus punctatus
Xysticus texanus
Xysticus triguttatus
Yunohamella lyrica
Zebra Jumper (Salticus scenicus)
Zelotes duplex
Zelotes fratris
Zelotes hentzi
Zelotes pseustes
Zodarion rubidum
Zora hespera
Zora pumila
Zornella armata
Zoropsis spinimana
Zosis geniculata
Zuniga laeta
Zygiella atrica
Zygiella dispar
Zygiella nearctica
Zygiella x-notata
Zygoballus nervosus
Zygoballus rufipes
Zygoballus sexpunctatus
